scenario,delay_ms,loss_pct,traffic_class,n_samples,avg_confidence,std_confidence,avg_iat,avg_size
Baseline,0,0,telemetry,3,100.0,0.0,1.0001333333333333,156.11111111111111
Baseline,0,0,event_driven,1,82.9,,0.0,132.66666666666666
Baseline,0,0,firmware,1,100.0,,0.015112244897959187,357.73791348600514
Delay 50ms,50,0,telemetry,3,100.0,0.0,0.9106571428571429,150.12499999999997
Delay 50ms,50,0,event_driven,2,96.5,3.5355339059327378,0.9231,120.0
Delay 50ms,50,0,firmware,2,78.4,30.547012947258857,0.020283755274261597,218.35294117647055
Delay 200ms,200,0,telemetry,3,100.0,0.0,1.0503333333333333,156.44444444444443
Delay 200ms,200,0,event_driven,2,100.0,0.0,0.2589949494949495,139.00833333333335
Delay 200ms,200,0,firmware,1,91.5,,0.025456896551724142,532.4615384615389
Delay 500ms,500,0,event_driven,2,84.5,21.920310216782973,0.6082777777777777,130.68947368421053
Delay 500ms,500,0,telemetry,2,100.0,0.0,1.1001,156.66666666666666
Delay 500ms,500,0,firmware,1,91.5,,0.08532608695652175,716.6881720430106
Loss 5%,0,5,telemetry,2,90.0,14.142135623730951,1.093975,156.16666666666666
Loss 5%,0,5,event_driven,3,89.60000000000001,10.87795936745491,0.38945,132.015873015873
Loss 5%,0,5,firmware,1,91.5,,0.06537704918032783,749.1300813008129
Loss 20%,0,20,telemetry,3,100.0,0.0,0.9048952380952381,152.4722222222222
Loss 20%,0,20,firmware,2,79.9,28.42569260369921,0.008012096774193546,218.37801608579096
Loss 20%,0,20,event_driven,2,78.25,30.759144981614817,0.32604945054945056,139.02678571428572
Delay+Loss,200,10,telemetry,3,100.0,0.0,0.976095238095238,151.68055555555554
Delay+Loss,200,10,event_driven,1,100.0,,0.44233333333333336,128.46153846153848
Delay+Loss,200,10,firmware,2,73.8,25.03158005400378,0.04755134281200631,304.0778301886791
